hotel,city,url,price,rating,stars,price_range,lowest_price,highest_price
Сиам Парадиз Отель,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d3801195-Reviews-Siam_Paradise_Hotel-Bangkok.html,Как добраться,"3,0","3,0",1 733 руб - 2 097 руб,1 733 руб,2 097 руб
Baan Khun Rak,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d6201384-Reviews-Baan_Khun_Rak-Bangkok.html,Как добраться,"4,0","2,0",2 006 руб - 2 006 руб,2 006 руб,2 006 руб
Гран Мандарин Резиденс,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d3792397-Reviews-Grand_Mandarin_Residence-Bangkok.html,Как добраться,"3,0","3,0",1 459 руб - 1 641 руб,1 459 руб,1 641 руб
Сена Хаус,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d3565320-Reviews-Sena_House-Bangkok.html,Как добраться,"3,5","3,0",1 277 руб - 2 006 руб,1 277 руб,2 006 руб
Buddy Place,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d6839781-Reviews-Buddy_Place-Bangkok.html,Как добраться,"3,0","3,0",1 459 руб - 1 641 руб,1 459 руб,1 641 руб
Witz Bangkok Ramkhamhaeng,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d20117459-Reviews-Witz_Bangkok_Ramkhamhaeng-Bangkok.html,Как добраться,"3,5","3,0",2 462 руб - 3 830 руб,2 462 руб,3 830 руб
Crystal Srivaree Suvarnabhumi Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d25068420-Reviews-Crystal_Srivaree_Suvarnabhumi_Hotel-Bangkok.html,Как добраться,"3,0",,3 100 руб - 3 739 руб,3 100 руб,3 739 руб
Синсири 3 Ладпрао 83,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d3431346-Reviews-Synsiri_3_Ladprao_83-Bangkok.html,Как добраться,"3,0","2,5",1 185 руб - 1 641 руб,1 185 руб,1 641 руб
Rose Apple Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d25175964-Reviews-Rose_Apple_Hotel-Bangkok.html,Как добраться,"3,0","3,0",2 553 руб - 3 830 руб,2 553 руб,3 830 руб
Кинг Роял 2,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d1602229-Reviews-King_Royal_2-Bangkok.html,Как добраться,"3,5","3,0",1 733 руб - 2 006 руб,1 733 руб,2 006 руб
